序号,NEW_TYPE,大类,中类,小类,Big Category,Mid Category,Sub Category
224,050000,餐饮服务,餐饮相关场所,餐饮相关,Food & Beverages,Food & Beverages Related,Food & Beverages Related
225,050100,餐饮服务,中餐厅,中餐厅,Food & Beverages,Chinese Food Restaurant,Chinese Food Restaurant
226,050101,餐饮服务,中餐厅,综合酒楼,Food & Beverages,Chinese Food Restaurant,Complex Food
227,050102,餐饮服务,中餐厅,四川菜(川菜),Food & Beverages,Chinese Food Restaurant,Sichuan Food
228,050103,餐饮服务,中餐厅,广东菜(粤菜),Food & Beverages,Chinese Food Restaurant,Cantonese Food
229,050104,餐饮服务,中餐厅,山东菜(鲁菜),Food & Beverages,Chinese Food Restaurant,Shandong Food
230,050105,餐饮服务,中餐厅,江苏菜,Food & Beverages,Chinese Food Restaurant,Jiangsu Food
231,050106,餐饮服务,中餐厅,浙江菜,Food & Beverages,Chinese Food Restaurant,Zhejiang Food
232,050107,餐饮服务,中餐厅,上海菜,Food & Beverages,Chinese Food Restaurant,Shanghai Food
233,050108,餐饮服务,中餐厅,湖南菜(湘菜),Food & Beverages,Chinese Food Restaurant,Hunan Food
234,050109,餐饮服务,中餐厅,安徽菜(徽菜),Food & Beverages,Chinese Food Restaurant,Anhui Food
235,050110,餐饮服务,中餐厅,福建菜,Food & Beverages,Chinese Food Restaurant,Fujian Food
236,050111,餐饮服务,中餐厅,北京菜,Food & Beverages,Chinese Food Restaurant,Beijing Food
237,050112,餐饮服务,中餐厅,湖北菜(鄂菜),Food & Beverages,Chinese Food Restaurant,Hubei Food
238,050113,餐饮服务,中餐厅,东北菜,Food & Beverages,Chinese Food Restaurant,Northeastern Chinese Food
239,050114,餐饮服务,中餐厅,云贵菜,Food & Beverages,Chinese Food Restaurant,Yunnan & Guizhou Food
240,050115,餐饮服务,中餐厅,西北菜,Food & Beverages,Chinese Food Restaurant,Northwestern Chinese Food
241,050116,餐饮服务,中餐厅,老字号,Food & Beverages,Chinese Food Restaurant,Traditional Brand
242,050117,餐饮服务,中餐厅,火锅店,Food & Beverages,Chinese Food Restaurant,Hotpot Restaurant
243,050118,餐饮服务,中餐厅,特色/地方风味餐厅,Food & Beverages,Chinese Food Restaurant,Local Special Food
244,050119,餐饮服务,中餐厅,海鲜酒楼,Food & Beverages,Chinese Food Restaurant,Sea Food
245,050120,餐饮服务,中餐厅,中式素菜馆,Food & Beverages,Chinese Food Restaurant,Vegetarian Food
246,050121,餐饮服务,中餐厅,清真菜馆,Food & Beverages,Chinese Food Restaurant,Islamic Food
247,050122,餐饮服务,中餐厅,台湾菜,Food & Beverages,Chinese Food Restaurant,Taiwan Food
248,050123,餐饮服务,中餐厅,潮州菜,Food & Beverages,Chinese Food Restaurant,Chaozhou Food
249,050200,餐饮服务,外国餐厅,外国餐厅,Food & Beverages,Foreign Food Restaurant,Foreign Food Restaurant
250,050201,餐饮服务,外国餐厅,西餐厅(综合风味),Food & Beverages,Foreign Food Restaurant,Western Restaurant
251,050202,餐饮服务,外国餐厅,日本料理,Food & Beverages,Foreign Food Restaurant,Japanese Cuisine
252,050203,餐饮服务,外国餐厅,韩国料理,Food & Beverages,Foreign Food Restaurant,South Korean Cuisine
253,050204,餐饮服务,外国餐厅,法式菜品餐厅,Food & Beverages,Foreign Food Restaurant,French Food
254,050205,餐饮服务,外国餐厅,意式菜品餐厅,Food & Beverages,Foreign Food Restaurant,Italian Food
255,050206,餐饮服务,外国餐厅,泰国/越南菜品餐厅,Food & Beverages,Foreign Food Restaurant,Thai/Vietnamese Food
256,050207,餐饮服务,外国餐厅,地中海风格菜品,Food & Beverages,Foreign Food Restaurant,Mediterranean Food
257,050208,餐饮服务,外国餐厅,美式风味,Food & Beverages,Foreign Food Restaurant,American Food
258,050209,餐饮服务,外国餐厅,印度风味,Food & Beverages,Foreign Food Restaurant,Indian Food
259,050210,餐饮服务,外国餐厅,英国式菜品餐厅,Food & Beverages,Foreign Food Restaurant,British Food
260,050211,餐饮服务,外国餐厅,牛扒店(扒房),Food & Beverages,Foreign Food Restaurant,Steak House
261,050212,餐饮服务,外国餐厅,俄国菜,Food & Beverages,Foreign Food Restaurant,Russian Food
262,050213,餐饮服务,外国餐厅,葡国菜,Food & Beverages,Foreign Food Restaurant,Portuguese Food
263,050214,餐饮服务,外国餐厅,德国菜,Food & Beverages,Foreign Food Restaurant,German Food
264,050215,餐饮服务,外国餐厅,巴西菜,Food & Beverages,Foreign Food Restaurant,Brazilian Food
265,050216,餐饮服务,外国餐厅,墨西哥菜,Food & Beverages,Foreign Food Restaurant,Mexican Food
266,050217,餐饮服务,外国餐厅,其它亚洲菜,Food & Beverages,Foreign Food Restaurant,Other Asian Food
267,050300,餐饮服务,快餐厅,快餐厅,Food & Beverages,Fast Food Restaurant,Fast Food Restaurant
268,050301,餐饮服务,快餐厅,肯德基,Food & Beverages,Fast Food Restaurant,KFC
269,050302,餐饮服务,快餐厅,麦当劳,Food & Beverages,Fast Food Restaurant,McDonald's
270,050303,餐饮服务,快餐厅,必胜客,Food & Beverages,Fast Food Restaurant,Pizza Hut
271,050304,餐饮服务,快餐厅,永和豆浆,Food & Beverages,Fast Food Restaurant,Yon ho
272,050305,餐饮服务,快餐厅,茶餐厅,Food & Beverages,Fast Food Restaurant,Teahouse
273,050306,餐饮服务,快餐厅,大家乐,Food & Beverages,Fast Food Restaurant,Cafe de Coral
274,050307,餐饮服务,快餐厅,大快活,Food & Beverages,Fast Food Restaurant,Fairwood
275,050308,餐饮服务,快餐厅,美心,Food & Beverages,Fast Food Restaurant,Maxim's
276,050309,餐饮服务,快餐厅,吉野家,Food & Beverages,Fast Food Restaurant,Yoshinoya
277,050310,餐饮服务,快餐厅,仙跡岩,Food & Beverages,Fast Food Restaurant,Saint's Alp Teahouse
278,050311,餐饮服务,快餐厅,呷哺呷哺,Food & Beverages,Fast Food Restaurant,Xiabu Xiabu
279,050400,餐饮服务,休闲餐饮场所,休闲餐饮场所,Food & Beverages,Leisure Food Restaurant,Leisure Food Restaurant
280,050500,餐饮服务,咖啡厅,咖啡厅,Food & Beverages,Coffee House,Coffee House
281,050501,餐饮服务,咖啡厅,星巴克咖啡,Food & Beverages,Coffee House,Starbucks Coffee
282,050502,餐饮服务,咖啡厅,上岛咖啡,Food & Beverages,Coffee House,UBC Coffee
283,050503,餐饮服务,咖啡厅,Pacific Coffee Company,Food & Beverages,Coffee House,Pacific Coffee Company
284,050504,餐饮服务,咖啡厅,巴黎咖啡店,Food & Beverages,Coffee House,Paris Cafe
285,050600,餐饮服务,茶艺馆,茶艺馆,Food & Beverages,Tea House,Tea House
286,050700,餐饮服务,冷饮店,冷饮店,Food & Beverages,Icecream Shop,Icecream Shop
287,050800,餐饮服务,糕饼店,糕饼店,Food & Beverages,Bakery,Bakery
288,050900,餐饮服务,甜品店,甜品店,Food & Beverages,Dessert House,Dessert House
289,060000,购物服务,购物相关场所,购物相关场所,Shopping,Shopping Related Places,Shopping Related Places
290,060100,购物服务,商场,商场,Shopping,Shopping Plaza,Shopping Plaza
291,060101,购物服务,商场,购物中心,Shopping,Shopping Plaza,Shopping Centre
292,060102,购物服务,商场,普通商场,Shopping,Shopping Plaza,Shops
293,060103,购物服务,商场,免税品店,Shopping,Shopping Plaza,Duty-free Shop
294,060200,购物服务,便民商店/便利店,便民商店/便利店,Shopping,Convenience Store,Convenience Store
295,060201,购物服务,便民商店/便利店,7-ELEVEn便利店,Shopping,Convenience Store,7-ELEVEn
296,060202,购物服务,便民商店/便利店,OK便利店,Shopping,Convenience Store,Circle K
297,060300,购物服务,家电电子卖场,家电电子卖场,Shopping,Home Electronics Hypermarket,Home Electronics Hypermarket
298,060301,购物服务,家电电子卖场,综合家电商场,Shopping,Home Electronics Hypermarket,Comprehensive Home Electronics Shopping Center
299,060302,购物服务,家电电子卖场,国美,Shopping,Home Electronics Hypermarket,GOME
300,060303,购物服务,家电电子卖场,大中,Shopping,Home Electronics Hypermarket,Dazhong
301,060304,购物服务,家电电子卖场,苏宁,Shopping,Home Electronics Hypermarket,Suning
302,060305,购物服务,家电电子卖场,手机销售,Shopping,Home Electronics Hypermarket,Mobile Handsets Sales
303,060306,购物服务,家电电子卖场,数码电子,Shopping,Home Electronics Hypermarket,Digital Electronics
304,060307,购物服务,家电电子卖场,丰泽,Shopping,Home Electronics Hypermarket,Fortress
305,060308,购物服务,家电电子卖场,苏宁镭射,Shopping,Home Electronics Hypermarket,Suning Citicall
306,060400,购物服务,超级市场,超市,Shopping,Supermarket,Supermarket
307,060401,购物服务,超级市场,家乐福,Shopping,Supermarket,Carrefour
308,060402,购物服务,超级市场,沃尔玛,Shopping,Supermarket,Wal-Mart
309,060403,购物服务,超级市场,华润,Shopping,Supermarket,CRC
310,060404,购物服务,超级市场,北京华联,Shopping,Supermarket,Beijing Hualian
311,060405,购物服务,超级市场,上海华联,Shopping,Supermarket,Shanghai Hualian
312,060406,购物服务,超级市场,麦德龙,Shopping,Supermarket,METRO
313,060407,购物服务,超级市场,乐天玛特,Shopping,Supermarket,LOTTE Mart
314,060408,购物服务,超级市场,华堂,Shopping,Supermarket,Ito Yokado
315,060409,购物服务,超级市场,卜蜂莲花,Shopping,Supermarket,Lotus
316,060411,购物服务,超级市场,屈臣氏,Shopping,Supermarket,Watsons
317,060413,购物服务,超级市场,惠康超市,Shopping,Supermarket,Wellcome
318,060414,购物服务,超级市场,百佳超市,Shopping,Supermarket,PARKnSHOP
319,060415,购物服务,超级市场,万宁超市,Shopping,Supermarket,Mannings
320,060500,购物服务,花鸟鱼虫市场,花鸟鱼虫市场,Shopping,Plants & Pet Market,Plants & Pet Market
321,060501,购物服务,花鸟鱼虫市场,花卉市场,Shopping,Plants & Pet Market,Flower Shop
322,060502,购物服务,花鸟鱼虫市场,宠物市场,Shopping,Plants & Pet Market,Pet Market
323,060600,购物服务,家居建材市场,家居建材市场,Shopping,Home Building Materials Market,Home Building Materials Market
324,060601,购物服务,家居建材市场,家具建材综合市场,Shopping,Home Building Materials Market,Home Building Materials Market
325,060602,购物服务,家居建材市场,家具城,Shopping,Home Building Materials Market,Furniture Store
326,060603,购物服务,家居建材市场,建材五金市场,Shopping,Home Building Materials Market,Hardware Store
327,060604,购物服务,家居建材市场,厨卫市场,Shopping,Home Building Materials Market,Kitchen Supply
328,060605,购物服务,家居建材市场,布艺市场,Shopping,Home Building Materials Market,Deco Cloth Store
329,060606,购物服务,家居建材市场,灯具瓷器市场,Shopping,Home Building Materials Market,Lighting & Porcelain Market
330,060700,购物服务,综合市场,综合市场,Shopping,Comprehensive Market,Comprehensive Market
331,060701,购物服务,综合市场,小商品市场,Shopping,Comprehensive Market,Small Commodity Market
332,060702,购物服务,综合市场,旧货市场,Shopping,Comprehensive Market,Flea Market
333,060703,购物服务,综合市场,农副产品市场,Shopping,Comprehensive Market,Agricultural Products Market
334,060704,购物服务,综合市场,果品市场,Shopping,Comprehensive Market,Fruits Market
335,060705,购物服务,综合市场,蔬菜市场,Shopping,Comprehensive Market,Vegetable Market
336,060706,购物服务,综合市场,水产海鲜市场,Shopping,Comprehensive Market,Seafood Market
337,060800,购物服务,文化用品店,文化用品店,Shopping,Stationary Store,Stationary Store
338,060900,购物服务,体育用品店,体育用品店,Shopping,Sports Store,Sports Store
339,060901,购物服务,体育用品店,李宁专卖店,Shopping,Sports Store,Li-Ning
340,060902,购物服务,体育用品店,耐克专卖店,Shopping,Sports Store,NIKE
341,060903,购物服务,体育用品店,阿迪达斯专卖店,Shopping,Sports Store,adidas
342,060904,购物服务,体育用品店,锐步专卖店,Shopping,Sports Store,Reebok
343,060905,购物服务,体育用品店,彪马专卖店,Shopping,Sports Store,PUMA
344,060906,购物服务,体育用品店,高尔夫用品店,Shopping,Sports Store,Golf Accessories Shop
345,060907,购物服务,体育用品店,户外用品,Shopping,Sports Store,Outdoor Sports Shop
346,061000,购物服务,特色商业街,特色商业街,Shopping,Commercial Street,Commercial Street
347,061001,购物服务,特色商业街,步行街,Shopping,Commercial Street,Pedestrian Street
348,061100,购物服务,服装鞋帽皮具店,服装鞋帽皮具店,Shopping,Clothing Store,Clothing Store
349,061101,购物服务,服装鞋帽皮具店,品牌服装店,Shopping,Clothing Store,Brand Clothing Store
350,061102,购物服务,服装鞋帽皮具店,品牌鞋店,Shopping,Clothing Store,Brand Shoes Store
351,061103,购物服务,服装鞋帽皮具店,品牌皮具店,Shopping,Clothing Store,Brand Leather Ware Store
352,061104,购物服务,服装鞋帽皮具店,品牌箱包店,Shopping,Clothing Store,Brand Bags and Suitcases Store
353,061200,购物服务,专卖店,专营店,Shopping,Franchise Store,Franchise Store
354,061201,购物服务,专卖店,古玩字画店,Shopping,Franchise Store,Antique Shop
355,061202,购物服务,专卖店,珠宝首饰工艺品,Shopping,Franchise Store,Jewelry Store
356,061203,购物服务,专卖店,钟表店,Shopping,Franchise Store,Watches Shop
357,061204,购物服务,专卖店,眼镜店,Shopping,Franchise Store,Optical Shop
358,061205,购物服务,专卖店,书店,Shopping,Franchise Store,Bookstore
359,061206,购物服务,专卖店,音像店,Shopping,Franchise Store,CD/DVD Shop
360,061207,购物服务,专卖店,儿童用品店,Shopping,Franchise Store,Children's Store
361,061208,购物服务,专卖店,自行车专卖店,Shopping,Franchise Store,Bike Shop
362,061209,购物服务,专卖店,礼品饰品店,Shopping,Franchise Store,Gift Store
363,061210,购物服务,专卖店,烟酒专卖店,Shopping,Franchise Store,Tobacco & Wine Franchise Store
364,061211,购物服务,专卖店,宠物用品店,Shopping,Franchise Store,Pet's Store
365,061212,购物服务,专卖店,摄影器材店,Shopping,Franchise Store,Camera Shop
366,061213,购物服务,专卖店,宝马生活方式,Shopping,Franchise Store,BMW Lifestyle
367,061214,购物服务,专卖店,土特产专卖店,Shopping,Franchise Store,Local Products Franchise Store
368,061300,购物服务,特殊买卖场所,特殊买卖场所,Shopping,Special Trade House,Special Trade House
369,061301,购物服务,特殊买卖场所,拍卖行,Shopping,Special Trade House,Auction House
370,061302,购物服务,特殊买卖场所,典当行,Shopping,Special Trade House,Pawn House
371,061400,购物服务,个人用品/化妆品店,其它个人用品店,Shopping,Personal Care Items Shop,Personal Care Items Shop
372,061401,购物服务,个人用品/化妆品店,莎莎,Shopping,Personal Care Items Shop,Sasa
373,070000,生活服务,生活服务场所,生活服务场所,Daily Life Service,Daily Life Service Place,Daily Life Service Place
374,070100,生活服务,旅行社,旅行社,Daily Life Service,Travel Agency,Travel Agency
375,070200,生活服务,信息咨询中心,信息咨询中心,Daily Life Service,Information Centre,Information Centre
376,070201,生活服务,信息咨询中心,服务中心,Daily Life Service,Information Centre,Service Centre
377,070202,生活服务,信息咨询中心,旅馆问讯,Daily Life Service,Information Centre,Enquire of Hotel
378,070203,生活服务,信息咨询中心,行李查询/行李问询,Daily Life Service,Information Centre,Enquire of Baggage
379,070300,生活服务,售票处,售票处,Daily Life Service,Ticket Office,Ticket Office
380,070301,生活服务,售票处,飞机票代售点,Daily Life Service,Ticket Office,Airline Tickets Office
381,070302,生活服务,售票处,火车票代售点,Daily Life Service,Ticket Office,Train Ticket Office
382,070303,生活服务,售票处,长途汽车票代售点,Daily Life Service,Ticket Office,Coach Ticket Office
383,070304,生活服务,售票处,船票代售点,Daily Life Service,Ticket Office,Ferry Ticket Office
384,070305,生活服务,售票处,公交卡/月票代售点,Daily Life Service,Ticket Office,Bus IC Card
385,070306,生活服务,售票处,公园景点售票处,Daily Life Service,Ticket Office,Park Box Office
386,070400,生活服务,邮局,邮局,Daily Life Service,Post Office,Post Office
387,070401,生活服务,邮局,邮政速递,Daily Life Service,Post Office,Express Post
388,070500,生活服务,物流速递,物流速递,Daily Life Service,Logistics Service,Logistics Service
389,070501,生活服务,物流速递,物流仓储场地,Daily Life Service,Logistics Service,Logistics Warehouse Space
390,070600,生活服务,电讯营业厅,电讯营业厅,Daily Life Service,Telecom Office,Telecom Office
391,070601,生活服务,电讯营业厅,中国电信营业厅,Daily Life Service,Telecom Office,China Telecom Office
392,070603,生活服务,电讯营业厅,中国移动营业厅,Daily Life Service,Telecom Office,China Mobile Office
393,070604,生活服务,电讯营业厅,中国联通营业厅,Daily Life Service,Telecom Office,China Unicom Office
394,070605,生活服务,电讯营业厅,中国铁通营业厅,Daily Life Service,Telecom Office,China Tietong Office
395,070606,生活服务,电讯营业厅,中国卫通营业厅,Daily Life Service,Telecom Office,China Satcom Office
396,070607,生活服务,电讯营业厅,和记电讯,Daily Life Service,Telecom Office,Hutchison Telecommunications
397,070608,生活服务,电讯营业厅,数码通电讯,Daily Life Service,Telecom Office,SmarTone
398,070609,生活服务,电讯营业厅,电讯盈科,Daily Life Service,Telecom Office,PCCW
399,070610,生活服务,电讯营业厅,中国移动香港,Daily Life Service,Telecom Office,China Mobile Hong Kong
400,070700,生活服务,事务所,事务所,Daily Life Service,Professional Service Firm,Professional Service Firm
401,070701,生活服务,事务所,律师事务所,Daily Life Service,Professional Service Firm,Law Firm
402,070702,生活服务,事务所,会计师事务所,Daily Life Service,Professional Service Firm,Accounting Firm
403,070703,生活服务,事务所,评估事务所,Daily Life Service,Professional Service Firm,Evaluation Firm
404,070704,生活服务,事务所,审计事务所,Daily Life Service,Professional Service Firm,Audit Firm
405,070705,生活服务,事务所,认证事务所,Daily Life Service,Professional Service Firm,Authentication Services
406,070706,生活服务,事务所,专利事务所,Daily Life Service,Professional Service Firm,Patent Office
407,070800,生活服务,人才市场,人才市场,Daily Life Service,Job Center,Job Center
408,070900,生活服务,自来水营业厅,自来水营业厅,Daily Life Service,Water Supply Service Office,Water Supply Service Office
409,071000,生活服务,电力营业厅,电力营业厅,Daily Life Service,Electric Supply Service Office,Electric Supply Service Office
410,071100,生活服务,美容美发店,美容美发店,Daily Life Service,Beauty and Hairdressing Store,Beauty and Hairdressing Store
411,071200,生活服务,维修站点,维修站点,Daily Life Service,Repair Store,Repair Store
412,071300,生活服务,摄影冲印店,摄影冲印,Daily Life Service,Photo Finishing,Photo Finishing
413,071400,生活服务,洗浴推拿场所,洗浴推拿场所,Daily Life Service,Bath & Massage Center,Bath & Massage Center
414,071500,生活服务,洗衣店,洗衣店,Daily Life Service,Laundry,Laundry
415,071600,生活服务,中介机构,中介机构,Daily Life Service,Agency,Agency
416,071700,生活服务,搬家公司,搬家公司,Daily Life Service,Move Service,Move Service
417,071800,生活服务,彩票彩券销售点,彩票彩券销售点,Daily Life Service,Lottery Store,Lottery Store
418,071801,生活服务,彩票彩券销售点,马会投注站,Daily Life Service,Lottery Store,Horse-Betting Center
419,071900,生活服务,丧葬设施,丧葬设施,Daily Life Service,Funeral Facilities,Funeral Facilities
420,071901,生活服务,丧葬设施,陵园,Daily Life Service,Funeral Facilities,Cemetery
421,071902,生活服务,丧葬设施,公墓,Daily Life Service,Funeral Facilities,Cemetery
422,071903,生活服务,丧葬设施,殡仪馆,Daily Life Service,Funeral Facilities,Funeral House
423,072000,生活服务,婴儿服务场所,婴儿服务场所,Daily Life Service,Baby Service Place,Baby Service Place
424,072001,生活服务,婴儿服务场所,婴儿游泳馆,Daily Life Service,Baby Service Place,Baby Natatorium
425,080000,体育休闲服务,体育休闲服务场所,体育休闲服务场所,Sports & Recreation,Sports & Recreation Places,Sports & Recreation Places
426,080100,体育休闲服务,运动场馆,运动场所,Sports & Recreation,Sports Stadium,Sports Places
427,080101,体育休闲服务,运动场馆,综合体育馆,Sports & Recreation,Sports Stadium,Sports Centre
428,080102,体育休闲服务,运动场馆,保龄球馆,Sports & Recreation,Sports Stadium,Bowling Hall
429,080103,体育休闲服务,运动场馆,网球场,Sports & Recreation,Sports Stadium,Tennis Court
430,080104,体育休闲服务,运动场馆,篮球场馆,Sports & Recreation,Sports Stadium,Basketball Stadium
431,080105,体育休闲服务,运动场馆,足球场,Sports & Recreation,Sports Stadium,Football Field
432,080106,体育休闲服务,运动场馆,滑雪场,Sports & Recreation,Sports Stadium,Ski Field
433,080107,体育休闲服务,运动场馆,溜冰场,Sports & Recreation,Sports Stadium,Skating Rink
434,080108,体育休闲服务,运动场馆,户外健身场所,Sports & Recreation,Sports Stadium,Outdoor Gym Facility
435,080109,体育休闲服务,运动场馆,海滨浴场,Sports & Recreation,Sports Stadium,Public Beach
436,080110,体育休闲服务,运动场馆,游泳馆,Sports & Recreation,Sports Stadium,Natatorium
437,080111,体育休闲服务,运动场馆,健身中心,Sports & Recreation,Sports Stadium,Gym Center
438,080112,体育休闲服务,运动场馆,乒乓球馆,Sports & Recreation,Sports Stadium,Table Tennis Hall
439,080113,体育休闲服务,运动场馆,台球厅,Sports & Recreation,Sports Stadium,Pool Room
440,080114,体育休闲服务,运动场馆,壁球场,Sports & Recreation,Sports Stadium,Squash Court
441,080115,体育休闲服务,运动场馆,马术俱乐部,Sports & Recreation,Sports Stadium,Horse Riding Club
442,080116,体育休闲服务,运动场馆,赛马场,Sports & Recreation,Sports Stadium,Race Track
443,080117,体育休闲服务,运动场馆,橄榄球场,Sports & Recreation,Sports Stadium,Rugby Court
444,080118,体育休闲服务,运动场馆,羽毛球场,Sports & Recreation,Sports Stadium,Badminton Court
445,080119,体育休闲服务,运动场馆,跆拳道场馆,Sports & Recreation,Sports Stadium,Taekwondo Venue
446,080200,体育休闲服务,高尔夫相关,高尔夫相关,Sports & Recreation,Golf Related,Golf Related
447,080201,体育休闲服务,高尔夫相关,高尔夫球场,Sports & Recreation,Golf Related,Golf Course
448,080202,体育休闲服务,高尔夫相关,高尔夫练习场,Sports & Recreation,Golf Related,Golf Training Course
449,080300,体育休闲服务,娱乐场所,娱乐场所,Sports & Recreation,Recreation Center,Recreation Center
450,080301,体育休闲服务,娱乐场所,夜总会,Sports & Recreation,Recreation Center,Night Club
451,080302,体育休闲服务,娱乐场所,KTV,Sports & Recreation,Recreation Center,KTV
452,080303,体育休闲服务,娱乐场所,迪厅,Sports & Recreation,Recreation Center,Disco
453,080304,体育休闲服务,娱乐场所,酒吧,Sports & Recreation,Recreation Center,Pub
454,080305,体育休闲服务,娱乐场所,游戏厅,Sports & Recreation,Recreation Center,Game Center
455,080306,体育休闲服务,娱乐场所,棋牌室,Sports & Recreation,Recreation Center,Card & Chess Room
456,080307,体育休闲服务,娱乐场所,博彩中心,Sports & Recreation,Recreation Center,Lottery Center
457,080308,体育休闲服务,娱乐场所,网吧,Sports & Recreation,Recreation Center,Internet Bar
458,080400,体育休闲服务,度假疗养场所,度假疗养场所,Sports & Recreation,Holiday & Nursing Resort,Holiday & Nursing Resort
